# Constructed from biom file
#OTU ID	LCSummer.1	LCSummer.10	LCSummer.11	LCSummer.12	LCSummer.13	LCSummer.14	LCSummer.15	LCSummer.16	LCSummer.17	LCSummer.18	LCSummer.19	LCSummer.2	LCSummer.3	LCSummer.4	LCSummer.5	LCSummer.6	LCSummer.7	LCSummer.8	LCSummer.9	LCWinter.20	LCWinter.21	LCWinter.22	LCWinter.23	LCWinter.24	LCWinter.25	LCWinter.26	LCWinter.27	LCWinter.28	LCWinter.29	LCWinter.30	LCWinter.31	LCWinter.32	LCWinter.33	LCWinter.34	LCWinter.35	LCWinter.36	LCWinter.37	LCWinter.38	LCWinter.39	LCWinter.40	LCWinter.41	LCWinter.42	LCWinter.43	LCWinter.44	LCWinter.45	LCWinter.46	LCWinter.47	taxonomy
asv.1	501.0	47.0	4.0	9.0	28.0	57.0	47.0	683.0	1018.0	83.0	7.0	315.0	381.0	301.0	25.0	8.0	27.0	41.0	37.0	265.0	813.0	660.0	524.0	905.0	555.0	598.0	665.0	694.0	622.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	8.0	2.0	0.0	5.0	0.0	11.0	26.0	23.0	0.0	Bacteria; Cyanobacteria; Oxyphotobacteria; Chloroplast; NA; NA; NA
asv.2	245.0	149.0	46.0	219.0	298.0	156.0	195.0	227.0	399.0	127.0	196.0	235.0	492.0	480.0	134.0	209.0	225.0	40.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; Cyanobacteria; Oxyphotobacteria; Nostocales; Microcystaceae; Snowella_0TU37S04; NA
asv.3	0.0	126.0	295.0	24.0	307.0	65.0	379.0	0.0	0.0	62.0	35.0	0.0	6.0	0.0	10.0	15.0	65.0	278.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	4.0	175.0	708.0	23.0	142.0	0.0	247.0	8.0	138.0	17.0	52.0	22.0	15.0	453.0	7.0	35.0	14.0	17.0	4.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonaceae; Methylobacter; tundripaludum
asv.4	0.0	294.0	214.0	178.0	296.0	181.0	159.0	23.0	17.0	300.0	108.0	22.0	99.0	138.0	126.0	136.0	145.0	267.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	32.0	26.0	30.0	39.0	19.0	23.0	42.0	29.0	50.0	36.0	20.0	41.0	22.0	39.0	17.0	15.0	11.0	Bacteria; Actinobacteria; Actinobacteria; Frankiales; Sporichthyaceae; hgcI_clade; NA
asv.5	0.0	140.0	134.0	194.0	182.0	279.0	152.0	0.0	0.0	224.0	159.0	0.0	330.0	338.0	175.0	171.0	177.0	154.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	49.0	0.0	0.0	69.0	48.0	52.0	49.0	0.0	0.0	0.0	64.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Rhodoferax; NA
asv.6	0.0	117.0	44.0	141.0	145.0	237.0	131.0	0.0	0.0	155.0	237.0	0.0	6.0	51.0	104.0	256.0	133.0	97.0	112.0	15.0	17.0	16.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Rhodocyclaceae; Sulfurisoma; NA
asv.7	499.0	8.0	3.0	0.0	0.0	0.0	0.0	184.0	469.0	55.0	0.0	305.0	166.0	126.0	4.0	5.0	2.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; Cyanobacteria; Oxyphotobacteria; Nostocales; Nostocaceae; Aphanizomenon_MDT14a; NA
asv.8	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	11.0	20.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	141.0	18.0	171.0	318.0	132.0	17.0	312.0	39.0	52.0	125.0	27.0	141.0	18.0	32.0	29.0	26.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; NA; NA; NA; NA
asv.9	0.0	96.0	42.0	101.0	124.0	194.0	130.0	0.0	0.0	140.0	151.0	0.0	52.0	74.0	109.0	179.0	133.0	114.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Rhodocyclaceae; NA; NA
asv.10	0.0	94.0	190.0	30.0	188.0	30.0	105.0	7.0	0.0	55.0	15.0	0.0	61.0	51.0	8.0	11.0	26.0	105.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	124.0	19.0	40.0	23.0	59.0	11.0	47.0	23.0	37.0	0.0	24.0	54.0	15.0	25.0	18.0	14.0	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Methylophilaceae; Methylotenera; NA
asv.11	25.0	0.0	1.0	0.0	1.0	4.0	2.0	3.0	8.0	4.0	1.0	8.0	5.0	4.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	45.0	34.0	81.0	104.0	81.0	56.0	92.0	119.0	166.0	144.0	109.0	91.0	65.0	103.0	59.0	70.0	23.0	Bacteria; Bacteroidetes; Bacteroidia; Cytophagales; Spirosomaceae; Pseudarcicella; NA
asv.12	0.0	68.0	67.0	103.0	145.0	111.0	78.0	1.0	0.0	76.0	108.0	0.0	135.0	209.0	62.0	107.0	81.0	74.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb.Bin063-1; NA
asv.13	37.0	32.0	23.0	15.0	24.0	16.0	13.0	35.0	37.0	36.0	13.0	55.0	46.0	21.0	9.0	13.0	13.0	45.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	36.0	35.0	48.0	67.0	31.0	23.0	82.0	53.0	91.0	69.0	48.0	57.0	31.0	66.0	32.0	36.0	11.0	Bacteria; Bacteroidetes; Bacteroidia; Chitinophagales; Chitinophagaceae; Sediminibacterium; NA
